item_keyword,calories,protein_g,carbs_g,fat_g
eggs,155,13,1.1,11
milk,61,3.2,4.8,3.3
rice,130,2.7,28,0.3
bread,265,9,49,3.3
chicken,165,31,0,3.6
beef,271,26,0,19
pork,242,27,0,14
fish,100,20,0,1.3
salmon,206,22,0,13
tuna,132,29,0,1.3
shrimp,99,24,0,0.3
vegetables mixed,35,2.6,7,0.2
carrot,41,0.9,10,0.2
broccoli,34,2.8,7,0.4
spinach,23,2.9,3.6,0.4
tomato,18,0.9,3.9,0.2
lettuce,15,1.2,2.9,0.2
onion,40,1.1,9,0.1
garlic,149,6.4,33,0.5
potato,77,2,17,0.1
sweet potato,86,1.6,20,0.1
pasta,131,5,25,1.1
noodles,138,3.8,24,2.3
rice noodles,109,1.8,24,0.2
beans,127,8.7,23,0.4
lentils,116,9,20,0.4
peanut,567,26,16,49
almond,579,21,22,50
cheese,402,25,1.3,33
yogurt,59,10,3.6,0.4
butter,717,0.9,0.1,81
oil olive,884,0,0,100
sugar,387,0,100,0
salt,0,0,0,0
flour,364,10,76,1
cornmeal,382,9.4,74,3.9
oats,389,17,66,7
cereal,366,8.6,73,1.3
cookie,492,6.5,63,24
chocolate,546,7.7,57,30
candy,380,0.7,85,2
juice orange,45,0.7,11,0.2
juice apple,52,0.1,13,0.2
soda,42,0,11,0
coffee,0,0,0,0
tea,2,0.3,0.3,0
beer,43,0.5,3.6,0
wine,85,0.1,3,0
soy sauce,80,13,5.6,0.5
ketchup,100,1.7,26,0.1
mayo,680,0,0.6,75
sauce chili,32,1.9,6.1,0.1
seasoning,250,11,55,1.5
tofu,76,8,2,4.8
tempeh,195,19,7,11
seaweed,35,6,5,0.6
banana,89,1.1,23,0.3
apple,52,0.3,14,0.2
orange,47,0.9,12,0.3
grape,67,0.6,17,0.3
strawberry,32,0.7,8,0.3
blueberry,57,0.7,14,0.3
watermelon,30,0.6,8,0.2
mango,60,0.8,15,0.4
pineapple,50,0.5,13,0.1
papaya,43,0.5,11,0.3
coconut,354,3.3,15,34
avocado,160,2,9,15
nuts mixed,607,18,24,54
seeds sunflower,585,20,20,52
seeds pumpkin,559,25,54,49
honey,304,0.3,82,0
jam,278,0.3,70,0.1
peanut butter,588,25,20,50
tahini,645,17,21,62
vinegar,18,0.04,0.4,0
mustard,66,3.6,6.4,3.3
spice cumin,375,18,44,9
spice pepper,251,10,64,3.3
ginger,80,1.8,18,0.75
turmeric,312,9.7,68,3.1
garlic powder,331,17,73,0.7
paprika,282,14,54,13
basil,23,3,3,0.6
oregano,265,9,69,4.3
thyme,276,5.6,64,2.4
rosemary,355,6.2,65,15
salt sea,0,0,0,0
black pepper,251,10,64,3.3
